attack,expect,episodes,escapes,escape_rate,cs_lo,cs_hi,expected_guard_fired,worst_joint_excursion,worst_tcp_excursion,rules_fired,envelope_override,wall_clock_s,envelope_sha256
dt_spoof,qd_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|force_max|qd_max|qdd_max|qddd_max|tcp_speed,,89.27740320001612,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
force_grind,force_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|force_max|qd_max|qdd_max|qddd_max,,82.63533089999692,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
gripper_crush,grip_rate,200,0,0.0,0.0,0.0,True,0.0,0.0,grip_rate|qddd_max,,180.11292490002234,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
index_permute,qd_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|force_max|qd_max|qdd_max|qddd_max|tcp_box|tcp_speed,,382.83583799999906,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
jerk_chatter,qddd_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|qd_max|qdd_max|qddd_max|tcp_speed,,295.18079009998473,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
lever_sprint,tcp_speed,200,0,0.0,0.0,0.0,True,0.0,0.0,brake|brake_accel|q_limit|qd_max|qdd_max|qddd_max|tcp_speed,,6597.600238099985,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
nan_inject,nan,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|nan|qd_max|qdd_max|qddd_max,,178.96203210001113,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
sign_flip,qd_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|qd_max|qdd_max|qddd_max|tcp_box|tcp_speed,,532.0003766000154,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
slam_to_limit,q_limit,200,0,0.0,0.0,0.0,True,0.0,0.0,brake|brake_accel|force_max|q_limit|qd_max|qdd_max|qddd_max|tcp_box|tcp_speed,,333.2774604999868,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
slow_drift,path_budget,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|path_budget|qd_max|qdd_max|qddd_max|tcp_speed,"{""path_budget_m"": 8.0}",214.82771849998971,704ecfcde56a8a0a1c3601a22eeacd399b4f2873ea5bd4fd58d00a9cb3ee7ca3
stale_replay,stale,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|force_max|qd_max|qdd_max|qddd_max|stale|tcp_speed,,87.23728550001397,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
unit_confusion,q_limit,200,0,0.0,0.0,0.0,True,0.0,0.0,brake|brake_accel|force_max|q_limit|qd_max|qdd_max|qddd_max|tcp_box|tcp_speed,,338.457079099986,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
velocity_ramp,qd_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|force_max|q_limit|qd_max|qdd_max|qddd_max|tcp_speed,,87.951024399983,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
watchdog_starve,dt_max,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|dt_max|force_max|qd_max|qdd_max|qddd_max|tcp_speed,,335.1475438000052,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
workspace_escape,tcp_box,200,0,0.0,0.0,0.0,True,0.0,0.0,brake_accel|qd_max|qdd_max|qddd_max|tcp_box|tcp_speed,,576.8258324000053,0d45a619219f0df35955e25000fadf78721f76191032119fd548e2e44e7dc531
